2023-05-06 17:37:23.302 [warning] invalid cursor position. [[24, 29] | [24, 29]].
2023-05-06 17:37:23.333 [warning] invalid cursor position. [[25, 29] | [25, 29]].
2023-05-06 17:37:23.380 [warning] invalid cursor position. [[26, 29] | [26, 29]].
2023-05-06 17:37:23.447 [warning] invalid cursor position. [[28, 29] | [28, 29]].
2023-05-06 17:37:23.478 [warning] invalid cursor position. [[29, 29] | [29, 29]].
2023-05-06 17:37:26.821 [warning] invalid cursor position. [[34, 29] | [34, 29]].
2023-05-06 17:37:28.316 [warning] invalid cursor position. [[32, 30] | [32, 30]].
2023-05-06 17:37:37.851 [info] /home/naman/.config/Code/User/profiles/7ea727a4/settings.json closed
2023-05-06 17:37:37.901 [info] Configuration changed
2023-05-06 17:37:41.555 [info] /home/naman/.config/Code/User/profiles/7ea727a4/settings.json closed
2023-05-06 17:37:41.604 [info] Configuration changed
